,BreedIDDesc
PIT BULL,1102
GERM SHEPHERD,327
LABRADOR RETRIV,253
BOXER,181
CHICHAUHUA,165
SHIH TZU,119
BEAGLE,116
ROTTWEILER,86
AAUST. TERR.,78
DACHSHUND,67
GOLD RETRIEVER,60
POODLE,50
BORDER COLLIE,47
YORKSHIRE TERRIER,46
CHOW CHOW,46
GREAT DANE,43
CANE CORSO,40
SCHNAUZER,39
POMERANIAN,38
OTHER,35
HUSKY,34
BULL DOG,34
DOBERMAN,32
COCKER SPAINEL,30
BOSTON TERRIER,29
ENGLISH BULLDOG,28
AKITA,28
MALTASE,28
MASTIF,27
MIN PIN,27
AM BULLDOG,26
SIBERAN HUSKY,26
BLACK LAB,23
BULLMASTIFF,22
BASSET HOUND,22
AMER. BULL DOG,21
RAT TERRIER,20
PUG,20
BORDER COLLIE M,18
DOTSON,17
COLLIE,16
WEIMARANER,16
WESTIE,14
COON HOUND,11
GREYHOUND,11
SHAR-PEI,11
GREAT PYRENEESE,10
BLUE HEELER,10
SHELTIE,10
ALASK. MALAMUTE,9
CORGI,9
PEKINGESE,9
FOX TERRIER,8
WELSH CORGI,8
BLOOD HOUND,8
BERNESEN MT.,7
LHASA APSO,7
SHEEP DOG,7
BICHON FRESE,7
CATTLE DOG,6
HAVANESE,6
SAINT BERNARD,6
BRITNEY SPANIEL,5
BASANJI,5
CATAHOULA,5
AM. ESKIMO,5
ENGLISH SHEPARD,4
BICHON FRISE,4
SCOTTISH TER.,4
SAMOYED,4
ENGLISH SETTER,4
TOY POODLE,4
FRENCH BULLDOG,4
ST BERNARD,4
DALMATIAN,4
BOX TERRIER,3
HEELER,3
GOLDEN LAB,3
LAKELAND TER.,3
ENG. MASTIFF,3
IRISH SETTER,3
AIREDALE TER.,3
MALAMUTE,2
NEW FOUNDLAND,2
SPITZ,2
COCKAPOO,2
PYRENES,2
BOUVIER,2
TOY FOX TERRIER,2
STAN POODLE,1
AMER FOX HOUND,1
BEARDED COLLIE,1
BESINJI,1
IRISH SPANIEL,1
FOX TERRIER MIX,1
WEINER DOG,1
RED HEELER,1
BRIARD,1
CHOCOLATE LAB.,1
OLD ENG SHP DOG,1
IRISH WOLFHOUND,1
